Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1625178450.349	     1.354	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 1
3	:	1625178450.746	     1.671	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 3
7	:	1625178451.541	     1.521	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 7
11	:	1625178452.333	     1.371	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 11
8	:	1625178451.739	     2.641	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 8
9	:	1625178451.937	     3.101	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 9
18	:	1625178453.720	     1.970	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 18
20	:	1625178454.116	     2.218	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 20
5	:	1625178451.143	     5.839	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 5
6	:	1625178451.342	     6.283	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 6
13	:	1625178452.729	     5.541	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 13
30	:	1625178456.099	     2.959	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 3
15	:	1625178453.126	     6.585	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 15
34	:	1625178456.893	     3.505	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 7
35	:	1625178457.091	     3.993	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 8
26	:	1625178455.306	     6.421	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 26
21	:	1625178454.315	     8.062	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 21
2	:	1625178450.547	    12.384	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 2
44	:	1625178458.876	     4.144	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 17
48	:	1625178459.670	     3.998	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 21
33	:	1625178456.694	     7.020	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 6
25	:	1625178455.108	     9.230	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 25
37	:	1625178457.488	     6.919	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 10
19	:	1625178453.918	    11.075	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 19
57	:	1625178461.456	     3.726	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 3
60	:	1625178462.052	     3.618	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 6
42	:	1625178458.479	     7.442	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 15
74	:	1625178465.673	     0.655	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 20
47	:	1625178459.471	     7.146	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 20
23	:	1625178454.711	    12.273	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 23
50	:	1625178460.067	     7.242	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 23
54	:	1625178460.861	     6.771	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 27
70	:	1625178464.341	     3.654	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 16
16	:	1625178453.324	    14.959	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 16
59	:	1625178461.853	     6.824	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 5
40	:	1625178458.083	    10.854	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 13
63	:	1625178462.648	     6.714	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 9
46	:	1625178459.273	    10.323	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 19
49	:	1625178459.868	    10.177	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 22
67	:	1625178463.443	     6.804	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 13
78	:	1625178466.987	     3.746	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 24
69	:	1625178463.869	     7.029	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 15
56	:	1625178461.258	    10.171	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 2
58	:	1625178461.654	     9.891	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 4
61	:	1625178462.251	     9.925	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 7
4	:	1625178450.945	    21.246	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 4
39	:	1625178457.885	    14.989	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 12
85	:	1625178469.366	     3.643	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 4
31	:	1625178456.297	    17.246	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 4
77	:	1625178466.620	     7.055	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 23
32	:	1625178456.496	    17.738	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 5
53	:	1625178460.663	    13.666	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 26
71	:	1625178464.540	    10.375	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 17
82	:	1625178468.286	     6.703	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 1
22	:	1625178454.513	    21.088	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 22
93	:	1625178472.179	     3.463	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 12
12	:	1625178452.531	    23.743	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 12
14	:	1625178452.927	    23.358	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 14
29	:	1625178455.900	    21.031	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 2
41	:	1625178458.281	    18.678	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 14
79	:	1625178467.312	    10.273	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 25
99	:	1625178474.238	     3.412	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 18
92	:	1625178471.630	     6.606	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 11
101	:	1625178474.919	     3.421	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 20
103	:	1625178475.604	     3.283	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 22
94	:	1625178472.378	     6.652	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 13
105	:	1625178476.277	     3.258	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 24
96	:	1625178473.076	     6.634	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 15
88	:	1625178470.251	     9.942	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 7
24	:	1625178454.910	    25.491	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 1 24
100	:	1625178474.436	     6.404	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 19
109	:	1625178477.589	     3.592	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 1
102	:	1625178475.118	     6.401	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 21
43	:	1625178458.677	    23.180	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 16
81	:	1625178467.999	    14.175	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 27
