Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1625154841.622	    16.865	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_0.xdd
2	:	1625154841.820	    18.742	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_10.xdd
20	:	1625154845.382	    17.239	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_2.xdd
16	:	1625154844.590	    20.009	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_23.xdd
25	:	1625154858.491	     8.151	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_7.xdd
4	:	1625154842.216	    26.550	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_12.xdd
9	:	1625154843.205	    27.634	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_17.xdd
19	:	1625154845.184	    29.230	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_26.xdd
12	:	1625154843.798	    31.119	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_1.xdd
3	:	1625154842.018	    34.820	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_11.xdd
5	:	1625154842.414	    36.494	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_13.xdd
26	:	1625154860.567	    20.348	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_8.xdd
24	:	1625154846.174	    36.746	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_6.xdd
18	:	1625154844.986	    39.894	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_25.xdd
7	:	1625154842.809	    44.045	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_15.xdd
13	:	1625154843.996	    44.856	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_20.xdd
23	:	1625154845.976	    44.881	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_5.xdd
6	:	1625154842.611	    50.236	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_14.xdd
27	:	1625154862.626	    32.210	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_9.xdd
8	:	1625154843.007	    53.750	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_16.xdd
10	:	1625154843.402	    55.291	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_18.xdd
21	:	1625154845.580	    55.097	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_3.xdd
11	:	1625154843.600	    59.054	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_19.xdd
14	:	1625154844.194	    60.506	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_21.xdd
15	:	1625154844.392	    62.522	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_22.xdd
22	:	1625154845.778	    63.179	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_4.xdd
17	:	1625154844.788	    66.125	0	0	0	0	srun --export=all --exclusive -N1 -n1 python3 extract_xdd.py ./scenarios/S1_1/cm2015B_S1_1_24.xdd
