,WDID,Admin,Decree,Source
0,3600507,12950.0,1.0,SLATE CREEK
1,3600507,13301.0,1.37,SLATE CREEK
2,3600507,17806.0,1.0,SLATE CREEK
3,3600507,22964.21102,2.13,SLATE CREEK
4,3600507,30184.23162,5.5,SLATE CREEK
5,3600603,19239.0,3.5,BLUE RIVER
6,3600603,20228.0,1.25,BLUE RIVER
7,3600603,32075.20228,6.21,BLUE RIVER
8,3600603,32075.25707,6.02,BLUE RIVER
10,3600642,19909.0,6.35,BLUE RIVER
11,3600642,49673.494660000004,10.0,BLUE RIVER
12,3600642,49798.0,3.0,BLUE RIVER
13,3600642,52230.494660000004,10.0,BLUE RIVER
14,3600642,53325.49773,3.0,BLUE RIVER
15,3600645,17288.0,5.0,ELLIOTT CREEK
16,3600645,19919.0,2.5,ELLIOTT CREEK
17,3600645,20294.0,2.5,ELLIOTT CREEK
18,3600645,21975.20392,10.0,ELLIOTT CREEK
19,3600645,32075.23878,14.0,ELLIOTT CREEK
20,3600645,33846.0,3.38,ELLIOTT CREEK
21,3600649_D,11110.0,1.0,SLATE CREEK
22,3600649_D,11114.0,1.0,SLATE CREEK
23,3600649_D,11840.0,3.5,SLATE CREEK
24,3600649_D,14093.0,13.4,SLATE CREEK
25,3600649_D,17363.0,1.25,SLATE CREEK
26,3600649_D,19180.0,4.0,SLATE CREEK
27,3600649_D,20615.0,4.0,SLATE CREEK
28,3600649_D,20615.0,8.0,SLATE CREEK
29,3600649_D,23296.228880000002,8.0,SLATE CREEK
30,3600649_D,25715.242619999997,2.0,SLATE CREEK
31,3600649_D,32075.17167,9.6,SLATE CREEK
32,3600649_D,32075.2366,22.0,SLATE CREEK
33,3600649_D,32075.255660000003,4.0,SLATE CREEK
34,3600649_D,32075.30102,12.39,SLATE CREEK
35,3600649_D,49673.47786,3.0,SLATE CREEK
36,3600649_D,49673.47786,3.0,SLATE CREEK
37,3600658,23296.224309999998,3.4,WILLOW CREEK
38,3600658,36311.0,8.0,WILLOW CREEK
39,3600660,12936.0,6.0,BLUE RIVER
40,3600660,30184.18262,2.0,BLUE RIVER
41,3600660,30184.23526,17.1,BLUE RIVER
42,3600662_D,22964.22029,2.0,ELLIOTT CREEK
43,3600662_D,22964.22029,10.0,ELLIOTT CREEK
44,3600662_D,22964.22029,1.0,ELLIOTT CREEK
45,3600662_D,22964.22029,5.0,ELLIOTT CREEK
46,3600662_D,22964.22029,25.0,ELLIOTT CREEK
47,3600662_D,22964.22029,0.5,ELLIOTT CREEK
48,3600662_D,22964.22029,25.0,ELLIOTT CREEK
49,3600662_D,22964.22029,2.0,ELLIOTT CREEK
50,3600662_D,22964.22029,3.0,ELLIOTT CREEK
51,3600662_D,99999.99999,999.0,ELLIOTT CREEK
52,3600671,14397.0,1.5,BLUE RIVER
53,3600671,14884.0,0.65,BLUE RIVER
54,3600671,22965.22553,1.5,BLUE RIVER
55,3600671,32075.2578,2.0,BLUE RIVER
56,3600671,32075.311660000003,18.8,BLUE RIVER
57,3600671,35929.0,15.0,BLUE RIVER
58,3600687,9324.0,3.25,SLATE CREEK
59,3600687,32075.09324,13.4,SLATE CREEK
60,3600709,30184.29584,18.33,BLUE RIVER
61,3600709,32075.114439999998,3.0,BLUE RIVER
62,3600709,32075.18262,17.85,BLUE RIVER
63,3600709,45290.45144,36.62,BLUE RIVER
64,3600725,19523.0,1.0,BLACK CREEK
65,3600725,32075.19523,4.0,BLACK CREEK
66,3600725,32075.2283,6.6,BLACK CREEK
67,3600725,37421.0,2.2,BLACK CREEK
68,3600728,18515.0,3.0,BLACK CREEK
69,3600728,32075.1888,3.0,BLACK CREEK
70,3600728,32075.228369999997,3.0,BLACK CREEK
71,3600728,37407.0,6.53,BLACK CREEK
72,3600729,19510.0,3.0,BLACK CREEK
73,3600729,32075.1951,3.0,BLACK CREEK
74,3600729,32075.22844,7.6,BLACK CREEK
75,3600729,37416.0,3.4,BLACK CREEK
76,3600729,99999.99999,999.0,BLACK CREEK
77,3600734,32075.280319999998,18.67,BLUE RIVER
78,3600734,99999.99999,999.0,BLUE RIVER
79,3600765,17046.0,5.0,BLUE RIVER
80,3600765,32075.27539,9.87,BLUE RIVER
81,3600765,99999.99999,999.0,BLUE RIVER
82,3600775,14703.0,5.25,BLUE RIVER
83,3600775,53325.52868,10.75,BLUE RIVER
84,3600776_D,11443.0,8.0,BLUE RIVER
85,3600776_D,13650.0,4.0,BLUE RIVER
86,3600776_D,19570.0,1.25,BLUE RIVER
87,3600776_D,30254.0,3.0,BLUE RIVER
88,3600776_D,31697.0,1.0,BLUE RIVER
89,3600776_D,53325.52868,17.2,BLUE RIVER
90,3600776_D,53325.52868,10.0,BLUE RIVER
91,3600780,19601.0,2.2,BLUE RIVER
92,3600780,30184.301069999998,9.3,BLUE RIVER
93,3600780,35915.0,12.0,BLUE RIVER
94,3600780,99999.99999,999.0,BLUE RIVER
96,3600796,13259.0,3.25,BRUSH CREEK
97,3600796,32075.204530000003,13.79,BRUSH CREEK
98,3600801,15157.0,15.0,DEEP CREEK
99,3600801,18871.0,15.0,DEEP CREEK
100,3600801,99999.99999,999.0,DEEP CREEK
105,3600868_D,14397.0,5.07,CATARACT CREEK
106,3600868_D,14397.0,2.0,CATARACT CREEK
107,3600868_D,14929.0,4.0,CATARACT CREEK
108,3600868_D,16588.0,2.0,CATARACT CREEK
109,3600868_D,19413.0,3.0,CATARACT CREEK
110,3600868_D,20696.0,2.0,CATARACT CREEK
111,3600868_D,99999.99999,999.0,CATARACT CREEK
137,36_ADC017,10652.0,52.26,
138,36_ADC017,17774.0,13.33,
139,36_ADC017,20534.0,1.5,
140,36_ADC017,22439.0,50.06,
141,36_ADC017,31222.0,14.0,
142,36_ADC017,23824.0,94.86,
143,36_ADC017,42929.0,0.04,
144,36_ADC017,47389.0,0.33,
145,36_ADC018,13284.0,18.32,
146,36_ADC018,18089.0,35.21,
147,36_ADC018,20593.0,1.5,
148,36_ADC018,12174.0,2.5,
149,36_ADC018,25435.0,32.1,
150,36_ADC019,11640.0,7.2,
151,36_ADC019,18471.0,14.0,
152,36_ADC019,31563.0,3.51,
153,36_ADC019,20847.0,59.57,
154,36_ADC019,45210.0,2.0,
158,3700519,25277.204530000003,1.5,EAST LAKE CREEK
159,3700519,30894.209389999996,1.5,EAST LAKE CREEK
160,3700519,30894.275139999998,4.5,EAST LAKE CREEK
161,3700519,30894.30102,4.08,EAST LAKE CREEK
162,3700519,99999.99999,999.0,EAST LAKE CREEK
163,3700539,12188.0,1.8,GYPSUM CREEK
164,3700539,13392.0,0.4,GYPSUM CREEK
165,3700539,13589.0,0.95,GYPSUM CREEK
166,3700539,13591.0,0.85,GYPSUM CREEK
167,3700539,13591.0,2.8,GYPSUM CREEK
168,3700539,13593.0,3.2,GYPSUM CREEK
169,3700539,13918.0,1.0,GYPSUM CREEK
170,3700539,13985.0,2.2,GYPSUM CREEK
171,3700539,15646.0,0.8,GYPSUM CREEK
172,3700539,16251.14411,0.1,GYPSUM CREEK
173,3700539,17683.0,0.14,GYPSUM CREEK
174,3700539,23261.20827,0.4,GYPSUM CREEK
175,3700539,23802.2374,27.7,GYPSUM CREEK
176,3700545,16251.127730000002,0.8,BRUSH CREEK
177,3700545,30894.269060000002,12.42,BRUSH CREEK
178,3700548,16251.13302,0.8,EAGLE RIVER
179,3700548,16251.151259999999,0.17,EAGLE RIVER
180,3700548,20972.14185,8.0,EAGLE RIVER
181,3700548,30894.15115,0.6,EAGLE RIVER
182,3700548,30894.216889999996,5.25,EAGLE RIVER
183,3700548,30894.269060000002,1.0,EAGLE RIVER
184,3700548,99999.99999,999.0,EAGLE RIVER
185,3700560,16927.0,7.3,LAKE CREEK
186,3700560,30894.17657,13.16,LAKE CREEK
187,3700560,52595.51986,2.0,LAKE CREEK
188,3700560,54201.0,0.5,LAKE CREEK
189,3700561,11808.0,4.1,GYPSUM CREEK
190,3700561,13028.0,2.8,GYPSUM CREEK
191,3700561,13918.0,2.4,GYPSUM CREEK
192,3700561,15611.0,0.5,GYPSUM CREEK
193,3700561,15611.0,1.0,GYPSUM CREEK
194,3700561,23802.2374,10.3,GYPSUM CREEK
195,3700561,30894.27394,2.16,GYPSUM CREEK
196,3700571,13315.0,3.2,LAKE CREEK
197,3700571,15462.0,3.0,LAKE CREEK
198,3700571,19509.16192,3.9,LAKE CREEK
199,3700571,30894.18383,2.54,LAKE CREEK
200,3700571,30894.209769999998,0.25,LAKE CREEK
201,3700571,54021.0,0.25,LAKE CREEK
202,3700571,99999.99999,999.0,LAKE CREEK
203,3700642,16251.13057,5.52,EAGLE RIVER
204,3700642,16953.0,0.5,EAGLE RIVER
205,3700642,20972.161509999998,0.34,EAGLE RIVER
206,3700642,22702.2237,17.0,EAGLE RIVER
207,3700642,22736.0,2.0,EAGLE RIVER
208,3700642,30126.27646,4.46,EAGLE RIVER
209,3700642,30894.280110000003,20.42,EAGLE RIVER
210,3700655,11808.0,0.3,GYPSUM CREEK
211,3700655,13752.0,2.73,GYPSUM CREEK
212,3700655,14001.0,0.56,GYPSUM CREEK
213,3700655,14061.0,1.5,GYPSUM CREEK
214,3700655,14081.0,0.24,GYPSUM CREEK
215,3700655,14463.0,1.8,GYPSUM CREEK
216,3700655,23802.2374,11.06,GYPSUM CREEK
217,3700655,99999.99999,999.0,GYPSUM CREEK
218,3700658,17696.0,2.2,EAGLE RIVER
219,3700658,30894.180610000003,11.92,EAGLE RIVER
220,3700658,30894.209769999998,3.04,EAGLE RIVER
221,3700686,14457.0,2.2,BRUSH CREEK
222,3700686,16251.12085,2.6,BRUSH CREEK
223,3700686,17328.0,5.7,BRUSH CREEK
224,3700686,22489.0,0.2,BRUSH CREEK
225,3700686,30894.269060000002,9.7,BRUSH CREEK
226,3700694,12205.0,1.8,BRUSH CREEK
227,3700694,13918.0,1.8,BRUSH CREEK
228,3700694,14456.0,1.4,BRUSH CREEK
229,3700694,16902.0,0.6,BRUSH CREEK
230,3700694,30894.269060000002,13.74,BRUSH CREEK
235,3700723,12538.0,0.6,BRUSH CREEK
236,3700723,13605.0,0.04,BRUSH CREEK
237,3700723,16251.145080000002,0.6,BRUSH CREEK
238,3700723,17302.0,0.5,BRUSH CREEK
239,3700723,30387.235010000004,2.0,BRUSH CREEK
240,3700723,30894.269060000002,5.71,BRUSH CREEK
241,3700723,99999.99999,999.0,BRUSH CREEK
242,3700743,17696.0,0.88,EAGLE RIVER
243,3700743,21707.17326,8.0,EAGLE RIVER
244,3700743,30894.209769999998,9.88,EAGLE RIVER
245,3700743,52230.4361,8.0,EAGLE RIVER
246,3700743,52230.52217,3.0,EAGLE RIVER
247,3700743,99999.99999,999.0,EAGLE RIVER
248,3700823,11505.0,9.0,GYPSUM CREEK
249,3700823,11969.0,2.65,GYPSUM CREEK
250,3700823,12539.0,1.0,GYPSUM CREEK
251,3700823,12875.0,0.4,GYPSUM CREEK
252,3700823,13338.0,0.65,GYPSUM CREEK
253,3700823,13345.0,1.1,GYPSUM CREEK
254,3700823,14458.0,1.7,GYPSUM CREEK
255,3700823,20972.18418,3.55,GYPSUM CREEK
256,3700823,20972.18419,1.7,GYPSUM CREEK
257,3700823,20972.19181,2.0,GYPSUM CREEK
258,3700823,23802.2374,25.65,GYPSUM CREEK
259,3700823,55517.54056,5.0,GYPSUM CREEK
260,3700823,99999.99999,999.0,GYPSUM CREEK
261,3700830,16251.144059999999,6.64,EAGLE RIVER
262,3700830,30894.26093,10.91,EAGLE RIVER
263,3700830,37040.0,6.2,EAGLE RIVER
264,3700830,99999.99999,999.0,EAGLE RIVER
265,3700843,16251.112509999999,3.2,BRUSH CREEK
266,3700843,18627.0,2.0,BRUSH CREEK
267,3700843,30894.269060000002,7.05,BRUSH CREEK
268,3700848,12894.0,3.7,EAGLE RIVER
269,3700848,14527.0,2.4,EAGLE RIVER
270,3700848,14527.0,1.6,EAGLE RIVER
271,3700848,20972.18901,0.94,EAGLE RIVER
272,3700848,30894.265710000003,11.83,EAGLE RIVER
273,3700848,38753.37375,15.0,EAGLE RIVER
274,3700848,99999.99999,999.0,EAGLE RIVER
275,3700857,16251.118080000002,4.8,BRUSH CREEK
276,3700857,18017.0,1.0,BRUSH CREEK
277,3700857,30894.269060000002,14.91,BRUSH CREEK
288,37_ADC029,13593.0,14.0,
289,37_ADC029,15293.0,6.4,
290,37_ADC029,19108.0,18.2,
291,37_ADC029,23766.0,76.23,
292,37_ADC029,35221.0,2.43,
293,37_ADC029,49439.0,3.52,
294,37_ADC030,13451.0,14.7,
295,37_ADC030,15098.0,20.8,
296,37_ADC030,21103.0,9.4,
297,37_ADC030,24815.0,59.02,
298,37_ADC030,24127.0,3.02,
299,37_ADC030,37761.0,1.9,
300,37_ADC030,26388.0,4.0,
301,37_ADC031,12986.0,11.55,
302,37_ADC031,14129.0,5.88,
303,37_ADC031,18604.0,6.52,
304,37_ADC031,22008.0,38.84,
305,37_ADC031,38383.0,1.78,
306,37_ADC031,43372.0,1.0,
307,3800516,11832.0,4.0,FOURMILE CREEK
308,3800516,12873.0,3.0,FOURMILE CREEK
309,3800516,13274.0,0.7,FOURMILE CREEK
310,3800516,30941.253360000002,5.5,FOURMILE CREEK
311,3800516,47116.46658,2.0,FOURMILE CREEK
312,3800516,49308.4866,2.0,FOURMILE CREEK
313,3800528,11981.0,5.0,ROARING FORK RIVER
314,3800528,12870.0,5.0,ROARING FORK RIVER
315,3800528,13233.0,1.8,ROARING FORK RIVER
316,3800528,30941.1467,33.2,ROARING FORK RIVER
317,3800545,11448.0,2.5,CAPITOL CREEK
318,3800545,12153.0,2.6,CAPITOL CREEK
319,3800545,19720.13635,1.0,CAPITOL CREEK
320,3800545,30941.257230000003,10.0,CAPITOL CREEK
321,3800545,52595.525539999995,1.0,CAPITOL CREEK
322,3800547,12518.0,2.8,CRYSTAL RIVER
323,3800547,25494.1368,3.2,CRYSTAL RIVER
324,3800547,30941.147760000003,14.0,CRYSTAL RIVER
325,3800547,53279.0,3.8,CRYSTAL RIVER
326,3800547,99999.99999,999.0,CRYSTAL RIVER
327,3800569,12961.0,6.0,CATTLE CREEK
328,3800569,20109.192369999997,8.0,CATTLE CREEK
329,3800572,19306.17804,4.0,CAPITOL CREEK
330,3800572,20109.18771,4.0,CAPITOL CREEK
331,3800572,24546.18771,4.18,CAPITOL CREEK
332,3800572,30941.257230000003,6.0,CAPITOL CREEK
333,3800572,34485.0,4.0,CAPITOL CREEK
334,3800573,11880.0,2.5,CAPITOL CREEK
335,3800573,12173.0,2.5,CAPITOL CREEK
336,3800573,37552.24988,6.0,CAPITOL CREEK
337,3800573,99999.99999,999.0,CAPITOL CREEK
338,3800574,13605.0,5.0,CRYSTAL RIVER
339,3800574,30941.25658,36.24,CRYSTAL RIVER
340,3800606,11809.0,1.7,COLLINS CREEK
341,3800606,12599.0,1.3,COLLINS CREEK
342,3800606,13284.0,0.3,COLLINS CREEK
343,3800606,30941.242580000002,13.34,COLLINS CREEK
344,3800618,21644.12875,5.58,ROARING FORK RIVER
345,3800618,30941.14701,5.6,ROARING FORK RIVER
346,3800618,99999.99999,999.0,ROARING FORK RIVER
347,3800639,19475.141880000003,4.0,CAPITOL CREEK
348,3800639,23853.15862,7.2,CAPITOL CREEK
349,3800639,24577.19524,3.96,CAPITOL CREEK
350,3800639,30941.257230000003,1.71,CAPITOL CREEK
351,3800651,19313.162930000002,31.8,CRYSTAL RIVER
352,3800651,36396.337230000005,10.0,CRYSTAL RIVER
353,3800659,29274.20209,8.33,ROARING FORK RIVER
354,3800659,30941.20575,6.66,ROARING FORK RIVER
355,3800660,23187.20939,19.29,SNOWMASS CREEK
356,3800663,19313.129569999997,9.1,CRYSTAL RIVER
357,3800663,30941.27931,3.45,CRYSTAL RIVER
358,3800663,36396.36277,2.0,CRYSTAL RIVER
359,3800663,44557.0,0.25,CRYSTAL RIVER
360,3800663,52595.52536,0.3,CRYSTAL RIVER
361,3800663,99999.99999,999.0,CRYSTAL RIVER
362,3800667,24059.21458,9.5,CATTLE CREEK
363,3800667,99999.99999,999.0,CATTLE CREEK
364,3800688,11633.0,1.6,FOURMILE CREEK
365,3800688,23329.19698,1.6,FOURMILE CREEK
366,3800688,30941.253360000002,4.0,FOURMILE CREEK
367,3800688,36396.25719,5.44,FOURMILE CREEK
368,3800688,99999.99999,999.0,FOURMILE CREEK
369,3800712,21522.185840000002,28.65,ROARING FORK RIVER
370,3800712,30941.189489999997,17.24,ROARING FORK RIVER
371,3800712,99999.99999,999.0,ROARING FORK RIVER
372,3800715,13262.0,8.5,ROARING FORK RIVER
373,3800715,30941.147230000002,12.24,ROARING FORK RIVER
374,3800715,53306.0,3.0,ROARING FORK RIVER
375,3800715,99999.99999,999.0,ROARING FORK RIVER
376,3800720,18977.118319999998,17.44,CAPITOL CREEK
377,3800720,99999.99999,999.0,CAPITOL CREEK
378,3800740,12359.0,8.73,ROARING FORK RIVER
379,3800740,30941.14916,14.82,ROARING FORK RIVER
380,3800740,99999.99999,999.0,ROARING FORK RIVER
381,3800749,31648.148839999998,9.3,MAROON CREEK
382,3800749,37552.37102,51.56,MAROON CREEK
383,3800749,51125.0,4.0,MAROON CREEK
384,3800755,36763.0,30.0,CASTLE CREEK
385,3800757,13661.0,20.0,ROARING FORK RIVER
386,3800757,29484.20209,20.0,ROARING FORK RIVER
387,3800757,30941.185060000003,0.87,ROARING FORK RIVER
388,3800757,30941.20923,16.5,ROARING FORK RIVER
389,3800757,36396.3602,1.63,ROARING FORK RIVER
390,3800757,99999.99999,999.0,ROARING FORK RIVER
391,3800798,12889.0,0.67,ROARING FORK RIVER
392,3800798,30941.14715,1.9,ROARING FORK RIVER
393,3800798,32907.31655,0.47,ROARING FORK RIVER
394,3800798,38137.0,5.0,ROARING FORK RIVER
395,3800798,51864.42155,3.0,ROARING FORK RIVER
396,3800798,51864.479680000004,3.0,ROARING FORK RIVER
397,3800798,51867.0,5.0,ROARING FORK RIVER
398,3800798,53873.0,8.0,ROARING FORK RIVER
399,3800798,56614.0,0.1,ROARING FORK RIVER
400,3800800,16765.12875,6.3,ROARING FORK RIVER
401,3800800,30427.19453,1.01,ROARING FORK RIVER
402,3800800,30941.19818,9.57,ROARING FORK RIVER
403,3800800,53306.0,5.6,ROARING FORK RIVER
404,3800822,13284.0,2.4,FOURMILE CREEK
405,3800822,13666.0,0.6,FOURMILE CREEK
406,3800822,30941.253360000002,5.2,FOURMILE CREEK
