Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1625202046.591	     0.912	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 1 1
6	:	1625202047.584	     0.532	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 1 6
2	:	1625202046.790	     1.523	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 1 2
3	:	1625202046.989	     1.330	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 1 3
9	:	1625202048.178	     0.538	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 1 9
5	:	1625202047.386	     1.364	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 1 5
11	:	1625202048.575	     0.519	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 2 1
4	:	1625202047.187	     1.967	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 1 4
10	:	1625202048.376	     0.840	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 1 10
7	:	1625202047.782	     1.450	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 1 7
12	:	1625202048.773	     0.490	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 2 2
13	:	1625202048.971	     0.505	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 2 3
14	:	1625202049.169	     0.673	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 2 4
8	:	1625202047.980	     1.869	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 1 8
15	:	1625202049.367	     0.814	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 2 5
16	:	1625202049.565	     0.625	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 2 6
17	:	1625202049.764	     0.728	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 2 7
18	:	1625202049.962	     0.732	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 2 8
19	:	1625202050.160	     0.557	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 2 9
21	:	1625202050.556	     0.483	0	26	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 3 1
20	:	1625202050.358	     0.733	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 2 10
